title,avg_salary
Analyst - Data Visualization,85000.0
Associate Data Analyst,50.0
Business Data Analyst,69.0
Data Analyst,66258.02123287671
Data Analyst (Hybrid),90000.0
Data Analyst (SQL),83200.0
Data Analyst - Energy,91000.0
Data Analyst/ $100M Valuation/ Hybrid,135000.0
Data Analyst/Collector,62500.0
Data Analytics Analyst,5900.0
Junior Data Analyst,27.309859154929576
Marketing Data Analyst,42.5
"REMOTE Data Analyst (SQL, Operations)",90000.0
Researcher,72000.0
SQL Data Analyst,69.63499999999999
